character_name,traits,category,traints
ana de armas,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
chris hemsworth,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jennifer connelly,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
natalie portman,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tom holland,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
daisy edgar-jones,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
matt smith,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
seung ha,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
austin butler,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jason statham,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
xaria dotson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
min do-yoon,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
katherine lanasa,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
millie bobby brown,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tom hanks,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
florence pugh,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
cillian murphy,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
taika waititi,"[""['is_male'"", "" 'is_director']""]",Directing,"['is_male', 'is_director']"
paddy considine,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
mia goth,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
luke evans,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
chris pratt,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
tessa thompson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tom cruise,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
angeli khang,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
krithi shetty,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
miles teller,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
park eun-bin,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
bible wichapas sumettikul,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
liam neeson,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
joey king,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
peyton list,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
elsa pataky,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jon bernthal,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
morfydd clark,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
sara tomko,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
hande erçel,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tom hardy,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
tatiana maslany,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tanner buchanan,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
junko mabuki,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
sae bom,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
bill skarsgård,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sylvester stallone,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sarah hyland,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
richard mcwilliams,"[""['is_actor']""]",Acting,['is_actor']
sydney sweeney,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
vin diesel,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
zhao lusi,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
russell crowe,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
chris evans,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
chloë grace moretz,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
glen powell,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
chris pine,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ryan gosling,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
morgan freeman,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
han yi-seul,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
olivia cooke,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
samuel l. jackson,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jason momoa,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
maisie williams,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
markella kavenagh,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
iris apatow,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
isabel may,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tilda swinton,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jaimie alexander,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
karen gillan,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
matt damon,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
charlize theron,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
mark wahlberg,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
cole hauser,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sam neill,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
cara delevingne,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
bryan cranston,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
scarlett johansson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
timothy olyphant,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
michelle yeoh,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
madeleine arthur,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
neal mcdonough,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kang tae-oh,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
virginia gardner,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
gary coleman,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
val kilmer,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sam elliott,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
julie michaels,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
rhys ifans,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sadie sink,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ryan reynolds,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
nicolas cage,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
owen wilson,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
mckenna grace,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
samara weaving,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
christine bermas,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
yoo jung,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
robert downey jr.,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
dakota johnson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kelly greyson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jodie comer,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jake gyllenhaal,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
henry cavill,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jennifer landon,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
milly alcock,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
al pacino,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
grace caroline currey,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
richard madden,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
john krasinski,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jenna ortega,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
terence maynard,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
vanessa kirby,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
denzel washington,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
emily blunt,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
mimi rogers,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jackie chan,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
james spader,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
benedict wong,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
finn wolfhard,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
paul rudd,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
uma thurman,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
amber midthunder,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
anne hathaway,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
adria arjona,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jared leto,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
alison brie,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
keke palmer,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
mila kunis,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
channing tatum,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sunny sandler,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
aj raval,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ed harris,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ginger gonzaga,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
rachel weisz,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
matthew finlan,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
andy garcía,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
timothée chalamet,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
hayden christensen,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
mel gibson,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
idris elba,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
brad pitt,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
rose van ginkel,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
rei akasaka,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
dacre montgomery,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
dominic sherwood,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
gaten matarazzo,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
amanda seyfried,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
milla jovovich,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kelsey asbille,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
bruce willis,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
lewis pullman,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
luke grimes,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
lily james,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
rosa salazar,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ian somerhalder,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
eva green,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
bryce dallas howard,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kelly mcgillis,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
christian bale,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
zendaya,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
miles wei,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
antony starr,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
yoon phusanu wongsavanischakorn,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kat graham,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jonathan banks,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ethan hawke,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kelly lynch,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
andrew garfield,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
colin farrell,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jonathan rhys meyers,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
emma roberts,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
emilia clarke,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
emma d'arcy,"[""['is_actor']""]",Acting,['is_actor']
sigourney weaver,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
armie hammer,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
stellan skarsgård,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
robert de niro,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
aaron paul,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jessica henwick,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jean-claude van damme,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
steven seagal,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
benedict cumberbatch,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
anthony edwards,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
daniel craig,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
emily carey,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
nathalie emmanuel,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kelly reilly,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
carol kane,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
adrien brody,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
patrick stewart,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
paul anderson,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
daniel radcliffe,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
richard gere,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
tobey maguire,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
tom hopper,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
natalie dormer,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
will poulter,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kaya scodelario,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
vera farmiga,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
caylee cowan,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
brendan fraser,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
annabelle wallis,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
sandra bullock,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
alan ritchson,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
travis fimmel,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jun amaki,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
michelle monaghan,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
oscar isaac,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ester expósito,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
mads mikkelsen,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
rhea seehorn,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
katheryn winnick,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
michael caine,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
johnny depp,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ewan mcgregor,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
bradley cooper,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ever anderson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
elizabeth olsen,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
freddie highmore,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kat dennings,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
piper perabo,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
rebecca ferguson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
alexandra daddario,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
indiana evans,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ayanna misola,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jim carrey,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
lisann valentin,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
hayley atwell,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
josh brolin,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
rosamund pike,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
scott adkins,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
pierce brosnan,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
taylor sheridan,"[""['is_male'"", "" 'is_writer']""]",Writing,"['is_male', 'is_writer']"
joseph gordon-levitt,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
john turturro,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
winona ryder,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
william zabka,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
anna-maria sieklucka,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
angourie rice,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
lena headey,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
sofia carson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
tom sturridge,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
hailee steinfeld,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
robert davi,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
connie nielsen,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jacki weaver,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
robin givens,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
grace van patten,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
karl urban,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
maría valverde,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
monica bellucci,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kang eun-hye,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
yui hatano,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
gerard butler,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
donnie yen,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
clint eastwood,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
rob guinto,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
helena bonham carter,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
han seo-ah,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
lee pace,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
rhona mitra,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
robert patrick,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
robert duvall,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
joe keery,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
annette o'toole,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
katherine langford,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kevin costner,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
scarlett estevez,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
shantel vansanten,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
sadie sandler,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
helen mirren,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
anne heche,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ashley johnson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
thomas brodie-sangster,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
akira kurosawa,"[""['is_male'"", "" 'is_director']""]",Directing,"['is_male', 'is_director']"
martin lawrence,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
dakota fanning,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
anya taylor-joy,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jack black,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
alexander skarsgård,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
william fichtner,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
claire forlani,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
daniel sunjata,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
robert pattinson,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
natalia dyer,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
keanu reeves,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
andy samberg,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
adrianne palicki,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
hassie harrison,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
yoo ji-won,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
rupert friend,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
aubrey plaza,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kate beckinsale,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
mile phakphum romsaithong,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
rachel mcadams,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
nina dobrev,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
