character_name,traits,category,traints
riley voelkel,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
marisa ramirez,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
julia campbell,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
timothy spall,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ric young,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
fay masterson,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
lloyd bridges,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
katarina čas,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
neelam kothari,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
oliver reed,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
donald maclean jr.,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
sabrina qiu,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
aramis knight,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
malina weissman,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
brian tee,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jin se-yeon,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ryosuke yamada,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
patricia belcher,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
katie findlay,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
hayley mcfarland,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
christopher miller,"[""['is_male'"", "" 'is_producer']""]",Production,"['is_male', 'is_producer']"
liz godwin,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
jodie whittaker,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
maria canals-barrera,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
mary kate schellhardt,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
